[Tick #0] Attacker: [DIR: 3; POS: 54,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1086] Attacker: [DIR: 1; POS: 64,80]; Defender #0: [DIR: 1; POS: 36,68]; Defender #1: [DIR: 2; POS: 72,48]; Defender #2: [DIR: 3; POS: 52,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1087] Attacker: [DIR: 1; POS: 65,80]; Defender #0: [DIR: 1; POS: 37,68]; Defender #1: [DIR: 2; POS: 72,49]; Defender #2: [DIR: 3; POS: 51,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1088] Attacker: [DIR: 1; POS: 66,80]; Defender #0: [DIR: 1; POS: 38,68]; Defender #1: [DIR: 2; POS: 72,50]; Defender #2: [DIR: 3; POS: 50,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1089] Attacker: [DIR: 1; POS: 67,80]; Defender #0: [DIR: 1; POS: 39,68]; Defender #1: [DIR: 2; POS: 72,51]; Defender #2: [DIR: 3; POS: 49,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1090] Attacker: [DIR: 1; POS: 68,80]; Defender #0: [DIR: 1; POS: 40,68]; Defender #1: [DIR: 2; POS: 72,52]; Defender #2: [DIR: 3; POS: 48,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1091] Attacker: [DIR: 1; POS: 69,80]; Defender #0: [DIR: 1; POS: 41,68]; Defender #1: [DIR: 2; POS: 72,53]; Defender #2: [DIR: 3; POS: 47,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1092] Attacker: [DIR: 1; POS: 70,80]; Defender #0: [DIR: 1; POS: 42,68]; Defender #1: [DIR: 2; POS: 72,54]; Defender #2: [DIR: 3; POS: 46,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1093] Attacker: [DIR: 1; POS: 71,80]; Defender #0: [DIR: 1; POS: 43,68]; Defender #1: [DIR: 2; POS: 72,55]; Defender #2: [DIR: 3; POS: 45,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1094] Attacker: [DIR: 1; POS: 72,80]; Defender #0: [DIR: 1; POS: 44,68]; Defender #1: [DIR: 2; POS: 72,56]; Defender #2: [DIR: 3; POS: 44,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1095] Attacker: [DIR: 1; POS: 73,80]; Defender #0: [DIR: 1; POS: 45,68]; Defender #1: [DIR: 2; POS: 72,57]; Defender #2: [DIR: 3; POS: 43,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1096] Attacker: [DIR: 1; POS: 74,80]; Defender #0: [DIR: 1; POS: 46,68]; Defender #1: [DIR: 2; POS: 72,58]; Defender #2: [DIR: 3; POS: 42,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1097] Attacker: [DIR: 1; POS: 75,80]; Defender #0: [DIR: 1; POS: 47,68]; Defender #1: [DIR: 2; POS: 72,59]; Defender #2: [DIR: 3; POS: 41,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1098] Attacker: [DIR: 1; POS: 76,80]; Defender #0: [DIR: 1; POS: 48,68]; Defender #1: [DIR: 2; POS: 72,60]; Defender #2: [DIR: 3; POS: 40,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1099] Attacker: [DIR: 1; POS: 77,80]; Defender #0: [DIR: 1; POS: 49,68]; Defender #1: [DIR: 2; POS: 72,61]; Defender #2: [DIR: 3; POS: 39,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1100] Attacker: [DIR: 1; POS: 78,80]; Defender #0: [DIR: 1; POS: 50,68]; Defender #1: [DIR: 2; POS: 72,62]; Defender #2: [DIR: 3; POS: 38,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1101] Attacker: [DIR: 1; POS: 79,80]; Defender #0: [DIR: 1; POS: 51,68]; Defender #1: [DIR: 2; POS: 72,63]; Defender #2: [DIR: 3; POS: 37,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1102] Attacker: [DIR: 1; POS: 80,80]; Defender #0: [DIR: 1; POS: 52,68]; Defender #1: [DIR: 2; POS: 72,64]; Defender #2: [DIR: 2; POS: 36,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1103] Attacker: [DIR: 1; POS: 81,80]; Defender #0: [DIR: 1; POS: 53,68]; Defender #1: [DIR: 2; POS: 72,65]; Defender #2: [DIR: 2; POS: 36,45]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1104] Attacker: [DIR: 1; POS: 82,80]; Defender #0: [DIR: 1; POS: 54,68]; Defender #1: [DIR: 2; POS: 72,66]; Defender #2: [DIR: 2; POS: 36,46]; Defender #3: [DIR: 1; POS: 54,44]; 
[Tick #1105] Attacker: [DIR: 1; POS: 83,80]; Defender #0: [DIR: 1; POS: 55,68]; Defender #1: [DIR: 2; POS: 72,67]; Defender #2: [DIR: 2; POS: 36,47]; Defender #3: [DIR: 1; POS: 55,44]; 
[Tick #1106] Attacker: [DIR: 1; POS: 84,80]; Defender #0: [DIR: 1; POS: 56,68]; Defender #1: [DIR: 3; POS: 72,68]; Defender #2: [DIR: 2; POS: 36,48]; Defender #3: [DIR: 1; POS: 56,44]; 
[Tick #1107] Attacker: [DIR: 1; POS: 85,80]; Defender #0: [DIR: 1; POS: 57,68]; Defender #1: [DIR: 3; POS: 71,68]; Defender #2: [DIR: 2; POS: 36,49]; Defender #3: [DIR: 1; POS: 57,44]; 
[Tick #1108] Attacker: [DIR: 1; POS: 86,80]; Defender #0: [DIR: 1; POS: 58,68]; Defender #1: [DIR: 3; POS: 70,68]; Defender #2: [DIR: 2; POS: 36,50]; Defender #3: [DIR: 1; POS: 58,44]; 
[Tick #1109] Attacker: [DIR: 1; POS: 87,80]; Defender #0: [DIR: 1; POS: 59,68]; Defender #1: [DIR: 3; POS: 69,68]; Defender #2: [DIR: 2; POS: 36,51]; Defender #3: [DIR: 1; POS: 59,44]; 
[Tick #1110] Attacker: [DIR: 1; POS: 88,80]; Defender #0: [DIR: 2; POS: 60,68]; Defender #1: [DIR: 3; POS: 68,68]; Defender #2: [DIR: 2; POS: 36,52]; Defender #3: [DIR: 1; POS: 60,44]; 
[Tick #1111] Attacker: [DIR: 1; POS: 89,80]; Defender #0: [DIR: 2; POS: 60,69]; Defender #1: [DIR: 3; POS: 67,68]; Defender #2: [DIR: 2; POS: 36,53]; Defender #3: [DIR: 1; POS: 61,44]; 
[Tick #1112] Attacker: [DIR: 1; POS: 90,80]; Defender #0: [DIR: 2; POS: 60,70]; Defender #1: [DIR: 3; POS: 66,68]; Defender #2: [DIR: 2; POS: 36,54]; Defender #3: [DIR: 1; POS: 62,44]; 
[Tick #1113] Attacker: [DIR: 1; POS: 91,80]; Defender #0: [DIR: 2; POS: 60,71]; Defender #1: [DIR: 3; POS: 65,68]; Defender #2: [DIR: 2; POS: 36,55]; Defender #3: [DIR: 1; POS: 63,44]; 
[Tick #1114] Attacker: [DIR: 1; POS: 92,80]; Defender #0: [DIR: 2; POS: 60,72]; Defender #1: [DIR: 3; POS: 64,68]; Defender #2: [DIR: 3; POS: 36,56]; Defender #3: [DIR: 1; POS: 64,44]; 
[Tick #1115] Attacker: [DIR: 1; POS: 93,80]; Defender #0: [DIR: 2; POS: 60,73]; Defender #1: [DIR: 3; POS: 63,68]; Defender #2: [DIR: 3; POS: 35,56]; Defender #3: [DIR: 1; POS: 65,44]; 
[Tick #1116] Attacker: [DIR: 1; POS: 94,80]; Defender #0: [DIR: 2; POS: 60,74]; Defender #1: [DIR: 3; POS: 62,68]; Defender #2: [DIR: 3; POS: 34,56]; Defender #3: [DIR: 1; POS: 66,44]; 
[Tick #1117] Attacker: [DIR: 1; POS: 95,80]; Defender #0: [DIR: 2; POS: 60,75]; Defender #1: [DIR: 3; POS: 61,68]; Defender #2: [DIR: 3; POS: 33,56]; Defender #3: [DIR: 1; POS: 67,44]; 
[Tick #1118] Attacker: [DIR: 0; POS: 96,80]; Defender #0: [DIR: 2; POS: 60,76]; Defender #1: [DIR: 2; POS: 60,68]; Defender #2: [DIR: 3; POS: 32,56]; Defender #3: [DIR: 1; POS: 68,44]; 
[Tick #1119] Attacker: [DIR: 0; POS: 96,79]; Defender #0: [DIR: 2; POS: 60,77]; Defender #1: [DIR: 2; POS: 60,69]; Defender #2: [DIR: 3; POS: 31,56]; Defender #3: [DIR: 1; POS: 69,44]; 
[Tick #1120] Attacker: [DIR: 0; POS: 96,78]; Defender #0: [DIR: 2; POS: 60,78]; Defender #1: [DIR: 2; POS: 60,70]; Defender #2: [DIR: 3; POS: 30,56]; Defender #3: [DIR: 1; POS: 70,44]; 
[Tick #1121] Attacker: [DIR: 0; POS: 96,77]; Defender #0: [DIR: 2; POS: 60,79]; Defender #1: [DIR: 2; POS: 60,71]; Defender #2: [DIR: 3; POS: 29,56]; Defender #3: [DIR: 1; POS: 71,44]; 
[Tick #1122] Attacker: [DIR: 0; POS: 96,76]; Defender #0: [DIR: 1; POS: 60,80]; Defender #1: [DIR: 2; POS: 60,72]; Defender #2: [DIR: 3; POS: 28,56]; Defender #3: [DIR: 1; POS: 72,44]; 
[Tick #1123] Attacker: [DIR: 0; POS: 96,75]; Defender #0: [DIR: 1; POS: 61,80]; Defender #1: [DIR: 2; POS: 60,73]; Defender #2: [DIR: 3; POS: 27,56]; Defender #3: [DIR: 1; POS: 73,44]; 
[Tick #1124] Attacker: [DIR: 0; POS: 96,74]; Defender #0: [DIR: 1; POS: 62,80]; Defender #1: [DIR: 2; POS: 60,74]; Defender #2: [DIR: 3; POS: 26,56]; Defender #3: [DIR: 1; POS: 74,44]; 
[Tick #1125] Attacker: [DIR: 0; POS: 96,73]; Defender #0: [DIR: 1; POS: 63,80]; Defender #1: [DIR: 2; POS: 60,75]; Defender #2: [DIR: 3; POS: 25,56]; Defender #3: [DIR: 1; POS: 75,44]; 
[Tick #1126] Attacker: [DIR: 0; POS: 96,72]; Defender #0: [DIR: 1; POS: 64,80]; Defender #1: [DIR: 2; POS: 60,76]; Defender #2: [DIR: 2; POS: 24,56]; Defender #3: [DIR: 1; POS: 76,44]; 
[Tick #1127] Attacker: [DIR: 0; POS: 96,71]; Defender #0: [DIR: 1; POS: 65,80]; Defender #1: [DIR: 2; POS: 60,77]; Defender #2: [DIR: 2; POS: 24,57]; Defender #3: [DIR: 1; POS: 77,44]; 
[Tick #1128] Attacker: [DIR: 0; POS: 96,70]; Defender #0: [DIR: 1; POS: 66,80]; Defender #1: [DIR: 2; POS: 60,78]; Defender #2: [DIR: 2; POS: 24,58]; Defender #3: [DIR: 1; POS: 78,44]; 
[Tick #1129] Attacker: [DIR: 0; POS: 96,69]; Defender #0: [DIR: 1; POS: 67,80]; Defender #1: [DIR: 2; POS: 60,79]; Defender #2: [DIR: 2; POS: 24,59]; Defender #3: [DIR: 1; POS: 79,44]; 
[Tick #1130] Attacker: [DIR: 0; POS: 96,68]; Defender #0: [DIR: 1; POS: 68,80]; Defender #1: [DIR: 1; POS: 60,80]; Defender #2: [DIR: 2; POS: 24,60]; Defender #3: [DIR: 1; POS: 80,44]; 
[Tick #1131] Attacker: [DIR: 0; POS: 96,67]; Defender #0: [DIR: 1; POS: 69,80]; Defender #1: [DIR: 1; POS: 61,80]; Defender #2: [DIR: 2; POS: 24,61]; Defender #3: [DIR: 1; POS: 81,44]; 
[Tick #1132] Attacker: [DIR: 0; POS: 96,66]; Defender #0: [DIR: 1; POS: 70,80]; Defender #1: [DIR: 1; POS: 62,80]; Defender #2: [DIR: 2; POS: 24,62]; Defender #3: [DIR: 1; POS: 82,44]; 
[Tick #1133] Attacker: [DIR: 0; POS: 96,65]; Defender #0: [DIR: 1; POS: 71,80]; Defender #1: [DIR: 1; POS: 63,80]; Defender #2: [DIR: 2; POS: 24,63]; Defender #3: [DIR: 1; POS: 83,44]; 
[Tick #1134] Attacker: [DIR: 0; POS: 96,64]; Defender #0: [DIR: 1; POS: 72,80]; Defender #1: [DIR: 1; POS: 64,80]; Defender #2: [DIR: 2; POS: 24,64]; Defender #3: [DIR: 1; POS: 84,44]; 
[Tick #1135] Attacker: [DIR: 0; POS: 96,63]; Defender #0: [DIR: 1; POS: 73,80]; Defender #1: [DIR: 1; POS: 65,80]; Defender #2: [DIR: 2; POS: 24,65]; Defender #3: [DIR: 1; POS: 85,44]; 
[Tick #1136] Attacker: [DIR: 0; POS: 96,62]; Defender #0: [DIR: 1; POS: 74,80]; Defender #1: [DIR: 1; POS: 66,80]; Defender #2: [DIR: 2; POS: 24,66]; Defender #3: [DIR: 1; POS: 86,44]; 
[Tick #1137] Attacker: [DIR: 0; POS: 96,61]; Defender #0: [DIR: 1; POS: 75,80]; Defender #1: [DIR: 1; POS: 67,80]; Defender #2: [DIR: 2; POS: 24,67]; Defender #3: [DIR: 1; POS: 87,44]; 
[Tick #1138] Attacker: [DIR: 0; POS: 96,60]; Defender #0: [DIR: 1; POS: 76,80]; Defender #1: [DIR: 1; POS: 68,80]; Defender #2: [DIR: 3; POS: 24,68]; Defender #3: [DIR: 1; POS: 88,44]; 
[Tick #1139] Attacker: [DIR: 0; POS: 96,59]; Defender #0: [DIR: 1; POS: 77,80]; Defender #1: [DIR: 1; POS: 69,80]; Defender #2: [DIR: 3; POS: 23,68]; Defender #3: [DIR: 1; POS: 89,44]; 
[Tick #1140] Attacker: [DIR: 0; POS: 96,58]; Defender #0: [DIR: 1; POS: 78,80]; Defender #1: [DIR: 1; POS: 70,80]; Defender #2: [DIR: 3; POS: 22,68]; Defender #3: [DIR: 1; POS: 90,44]; 
[Tick #1141] Attacker: [DIR: 0; POS: 96,57]; Defender #0: [DIR: 1; POS: 79,80]; Defender #1: [DIR: 1; POS: 71,80]; Defender #2: [DIR: 3; POS: 21,68]; Defender #3: [DIR: 1; POS: 91,44]; 
[Tick #1142] Attacker: [DIR: 0; POS: 96,56]; Defender #0: [DIR: 1; POS: 80,80]; Defender #1: [DIR: 1; POS: 72,80]; Defender #2: [DIR: 3; POS: 20,68]; Defender #3: [DIR: 1; POS: 92,44]; 
[Tick #1143] Attacker: [DIR: 0; POS: 96,55]; Defender #0: [DIR: 1; POS: 81,80]; Defender #1: [DIR: 1; POS: 73,80]; Defender #2: [DIR: 3; POS: 19,68]; Defender #3: [DIR: 1; POS: 93,44]; 
[Tick #1144] Attacker: [DIR: 0; POS: 96,54]; Defender #0: [DIR: 1; POS: 82,80]; Defender #1: [DIR: 1; POS: 74,80]; Defender #2: [DIR: 3; POS: 18,68]; Defender #3: [DIR: 1; POS: 94,44]; 
[Tick #1145] Attacker: [DIR: 0; POS: 96,53]; Defender #0: [DIR: 1; POS: 83,80]; Defender #1: [DIR: 1; POS: 75,80]; Defender #2: [DIR: 3; POS: 17,68]; Defender #3: [DIR: 1; POS: 95,44]; 
[Tick #1146] Attacker: [DIR: 2; POS: 96,52]; Defender #0: [DIR: 1; POS: 84,80]; Defender #1: [DIR: 1; POS: 76,80]; Defender #2: [DIR: 3; POS: 16,68]; Defender #3: [DIR: 2; POS: 96,44]; 
[Tick #1147] Attacker: [DIR: 2; POS: 96,53]; Defender #0: [DIR: 1; POS: 85,80]; Defender #1: [DIR: 1; POS: 77,80]; Defender #2: [DIR: 3; POS: 15,68]; Defender #3: [DIR: 2; POS: 96,45]; 
[Tick #1148] Attacker: [DIR: 2; POS: 96,54]; Defender #0: [DIR: 1; POS: 86,80]; Defender #1: [DIR: 1; POS: 78,80]; Defender #2: [DIR: 3; POS: 14,68]; Defender #3: [DIR: 2; POS: 96,46]; 
[Tick #1149] Attacker: [DIR: 2; POS: 96,55]; Defender #0: [DIR: 1; POS: 87,80]; Defender #1: [DIR: 1; POS: 79,80]; Defender #2: [DIR: 3; POS: 13,68]; Defender #3: [DIR: 2; POS: 96,47]; 
[Tick #1150] Attacker: [DIR: 2; POS: 96,56]; Defender #0: [DIR: 1; POS: 88,80]; Defender #1: [DIR: 1; POS: 80,80]; Defender #2: [DIR: 2; POS: 12,68]; Defender #3: [DIR: 2; POS: 96,48]; 
[Tick #1151] Attacker: [DIR: 2; POS: 96,57]; Defender #0: [DIR: 1; POS: 89,80]; Defender #1: [DIR: 1; POS: 81,80]; Defender #2: [DIR: 2; POS: 12,69]; Defender #3: [DIR: 2; POS: 96,49]; 
[Tick #1152] Attacker: [DIR: 2; POS: 96,58]; Defender #0: [DIR: 1; POS: 90,80]; Defender #1: [DIR: 1; POS: 82,80]; Defender #2: [DIR: 2; POS: 12,70]; Defender #3: [DIR: 2; POS: 96,50]; 
[Tick #1153] Attacker: [DIR: 2; POS: 96,59]; Defender #0: [DIR: 1; POS: 91,80]; Defender #1: [DIR: 1; POS: 83,80]; Defender #2: [DIR: 2; POS: 12,71]; Defender #3: [DIR: 2; POS: 96,51]; 
[Tick #1154] Attacker: [DIR: 2; POS: 96,60]; Defender #0: [DIR: 1; POS: 92,80]; Defender #1: [DIR: 1; POS: 84,80]; Defender #2: [DIR: 2; POS: 12,72]; Defender #3: [DIR: 2; POS: 96,52]; 
[Tick #1155] Attacker: [DIR: 2; POS: 96,61]; Defender #0: [DIR: 1; POS: 93,80]; Defender #1: [DIR: 1; POS: 85,80]; Defender #2: [DIR: 2; POS: 12,73]; Defender #3: [DIR: 2; POS: 96,53]; 
[Tick #1156] Attacker: [DIR: 2; POS: 96,62]; Defender #0: [DIR: 1; POS: 94,80]; Defender #1: [DIR: 1; POS: 86,80]; Defender #2: [DIR: 2; POS: 12,74]; Defender #3: [DIR: 2; POS: 96,54]; 
[Tick #1157] Attacker: [DIR: 2; POS: 96,63]; Defender #0: [DIR: 1; POS: 95,80]; Defender #1: [DIR: 1; POS: 87,80]; Defender #2: [DIR: 2; POS: 12,75]; Defender #3: [DIR: 2; POS: 96,55]; 
[Tick #1158] Attacker: [DIR: 2; POS: 96,64]; Defender #0: [DIR: 0; POS: 96,80]; Defender #1: [DIR: 1; POS: 88,80]; Defender #2: [DIR: 2; POS: 12,76]; Defender #3: [DIR: 2; POS: 96,56]; 
[Tick #1159] Attacker: [DIR: 2; POS: 96,65]; Defender #0: [DIR: 0; POS: 96,79]; Defender #1: [DIR: 1; POS: 89,80]; Defender #2: [DIR: 2; POS: 12,77]; Defender #3: [DIR: 2; POS: 96,57]; 
[Tick #1160] Attacker: [DIR: 2; POS: 96,66]; Defender #0: [DIR: 0; POS: 96,78]; Defender #1: [DIR: 1; POS: 90,80]; Defender #2: [DIR: 2; POS: 12,78]; Defender #3: [DIR: 2; POS: 96,58]; 
[Tick #1161] Attacker: [DIR: 2; POS: 96,67]; Defender #0: [DIR: 0; POS: 96,77]; Defender #1: [DIR: 1; POS: 91,80]; Defender #2: [DIR: 2; POS: 12,79]; Defender #3: [DIR: 2; POS: 96,59]; 
[Tick #1162] Attacker: [DIR: 0; POS: 96,68]; Defender #0: [DIR: 0; POS: 96,76]; Defender #1: [DIR: 1; POS: 92,80]; Defender #2: [DIR: 2; POS: 12,80]; Defender #3: [DIR: 2; POS: 96,60]; 
[Tick #1163] Attacker: [DIR: 2; POS: 96,67]; Defender #0: [DIR: 0; POS: 96,75]; Defender #1: [DIR: 1; POS: 93,80]; Defender #2: [DIR: 2; POS: 12,81]; Defender #3: [DIR: 2; POS: 96,61]; 
[Tick #1164] Attacker: [DIR: 0; POS: 96,68]; Defender #0: [DIR: 0; POS: 96,74]; Defender #1: [DIR: 1; POS: 94,80]; Defender #2: [DIR: 2; POS: 12,82]; Defender #3: [DIR: 2; POS: 96,62]; 
[Tick #1165] Attacker: [DIR: 2; POS: 96,67]; Defender #0: [DIR: 0; POS: 96,73]; Defender #1: [DIR: 1; POS: 95,80]; Defender #2: [DIR: 2; POS: 12,83]; Defender #3: [DIR: 2; POS: 96,63]; 
[Tick #1166] Attacker: [DIR: 0; POS: 96,68]; Defender #0: [DIR: 0; POS: 96,72]; Defender #1: [DIR: 0; POS: 96,80]; Defender #2: [DIR: 2; POS: 12,84]; Defender #3: [DIR: 2; POS: 96,64]; 
[Tick #1167] Attacker: [DIR: -1; POS: 54,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1168] Attacker: [DIR: -1; POS: 53,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1169] Attacker: [DIR: -1; POS: 52,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1170] Attacker: [DIR: -1; POS: 51,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1171] Attacker: [DIR: -1; POS: 50,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1172] Attacker: [DIR: -1; POS: 49,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1173] Attacker: [DIR: -1; POS: 48,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1174] Attacker: [DIR: -1; POS: 47,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1175] Attacker: [DIR: -1; POS: 46,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1176] Attacker: [DIR: -1; POS: 45,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1177] Attacker: [DIR: -1; POS: 44,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1178] Attacker: [DIR: -1; POS: 43,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1179] Attacker: [DIR: -1; POS: 42,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1180] Attacker: [DIR: -1; POS: 41,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1181] Attacker: [DIR: -1; POS: 40,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1182] Attacker: [DIR: -1; POS: 39,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1183] Attacker: [DIR: -1; POS: 38,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1184] Attacker: [DIR: -1; POS: 37,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1185] Attacker: [DIR: -1; POS: 36,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1186] Attacker: [DIR: -1; POS: 35,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1187] Attacker: [DIR: -1; POS: 34,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1188] Attacker: [DIR: -1; POS: 33,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1189] Attacker: [DIR: -1; POS: 32,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1190] Attacker: [DIR: -1; POS: 31,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1191] Attacker: [DIR: -1; POS: 30,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1192] Attacker: [DIR: -1; POS: 29,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1193] Attacker: [DIR: -1; POS: 28,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1194] Attacker: [DIR: -1; POS: 27,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1195] Attacker: [DIR: -1; POS: 26,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1196] Attacker: [DIR: -1; POS: 25,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
